Construction law (22.6.2017)	Law on architectural and engineering activity (22.6.2017)	Law on budget administration	Law on social security (22.6.2017)	Law on the guardian of human rights (22.6.2017)	Law on establishment of floor ownership	Law on pension bonus	Law on war burial sites	Law on equal opportunities for the disabled	Law on work inspection (20.6.2017)	Law on the right of the patient (20.6.2017)	Law on sport	Law on Roma community (30.5.2017)	Law on safety in railway traffic (30.5.2017)	Law on social security (30.5.2017)	Law on pension and disability insurance (30.5.2017)	Law on medical activity (30.5.2017)	Law on limiting the use of tobacco products	name	gender	education	party	date of birth	attendance	initiatives	speeches/session	words/session	age	mandates	voters	image	locality
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	string	discrete	discrete	discrete	time	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string
																		meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta type=image	meta
1	1	1	quorum	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Aleksander Kavčič	m	8	SMC	1972-05-05 01:00:00	84.2	5.0	1.0	13115.0	45.0	1.0	2458.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P259	Ljutomer
1	1	1	1	1	1	1	1	1	0	quorum	quorum	1	1	1	1	0	0	Alenka Bratušek	ž	8	PS NP	1970-05-31 01:00:00	49.2	56.0	5.0	345239.0	47.0	2.0	791.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P166	Kranj I
							1	1	0	0	0	1	quorum	1	1	0		Andrej Čuš	m	7	NeP	1990-07-29 02:00:00	51.9	302.0	3.0	160667.0	27.0	2.0	2496.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P225	Ptuj I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0								Andrej Šircelj	m	8	SDS	1959-02-28 01:00:00	72.6	105.0	12.0	540295.0	58.0	2.0	3530.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P201	Cerknica-Logatec
		1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Andreja Potočnik	ž	6	SMC	1982-02-10 01:00:00	92.9	6.0			35.0	1.0	2404.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P278	Tržič
1	1	1	1	1	1	1	1	1	1	1		1	1	0	0	1	1	Anita Koleša	ž	6	SMC	1961-02-13 01:00:00	96.7	13.0	1.0	90056.0	56.0	1.0	3088.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P260	Šentjur
0	0	quorum	0	quorum	quorum	quorum												Anja Bah Žibert	ž	6	SDS	1973-06-27 01:00:00	67.1	154.0	5.0	496740.0	44.0	1.0	3977.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P239	Novo Mesto I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0		Anže Logar	m	8	SDS	1976-05-15 01:00:00	61.3	95.0	4.0	300149.0	41.0	1.0	3140.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P238	Ljubljana Vič-Rudnik IV
